Zipcode,State,Size,Cost,Date,Latitude,Longitude,Solar Radiation - Annual Average (kWh/m2/day),County,INCITS
98672,WA,2.45,15000.0,8/1/2011,45.82,-121.46,4;62,Klickitat,53039
99362,WA,2.45,22756.0,2/9/2009,46.11,-118.30,4;92,Walla Walla,53071
98816,WA,2.5,25000,06/26/2001,47.89,-119.99,4;71,Chelan,53007
98672,WA,2.52,12000.0,6/7/2007,45.82,-121.46,4;62,Klickitat,53039
98112,WA,2.65,16486.0,07/26/2013,47.63,-122.29,3;48,King,53033
98362,WA,2.66,17500,7/10/2008,47.99,-123.25,3;47,Clallam,53009
98672,WA,2.688,45178.0,7/8/2008,45.82,-121.46,4;62,Klickitat,53039
98119,WA,2.76,14629.2,7/8/2011,47.63,-122.37,3;50,King,53033
98119,WA,2.76,16602.4,8/10/2011,47.63,-122.37,3;50,King,53033
98635,WA,2.8,22400.0,2/8/2008,45.72,-121.16,4;91,Klickitat,53039
99337,WA,2.816,25950.0,1/9/2009,46.07,-119.08,5;24,Benton,53005
98119,WA,2.88,13252.8,06/24/2011,47.63,-122.37,3;50,King,53033
98650,WA,2.91,33508.0,12/7/2007,45.97,-121.53,4;63,Klickitat,53039
98126,WA,3,18000,12/11/2009,47.55,-122.37,3;38,King,53033
98368,WA,3.0,29769.0,06/18/2008,48.03,-122.81,3;21,Jefferson,55055
98368,WA,3.0,24769.0,06/18/2008,48.03,-122.81,3;21,Jefferson,55055
99352,WA,3.01,21070.0,10/26/2009,46.32,-119.32,5;34,Benton,53005
98635,WA,3.06,24280.0,6/6/2006,45.72,-121.16,4;91,Klickitat,53039
99352,WA,3.168,29050.0,12/8/2008,46.32,-119.32,5;34,Benton,53005
98119,WA,3.22,17613.4,05/13/2011,47.63,-122.37,3;50,King,53033
