Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=maxsize=6&minsize=5&state=CA
90019,CA,5.0,35000.0,06/14/2013,
90034,CA,5.0,20020.0,7-8-2013,
91040,CA,5.0,24309.6,10-1-2013,
90064,CA,5.0,0.0,7-3-2013,
90037,CA,5.0,0.0,10/22/2013,
95688,CA,5.0,25800.0,03/21/2013,
91343,CA,5.0,64100.0,6-6-2013,
91307,CA,5.0,35000.0,07/15/2013,
91311,CA,5.0,27600.0,09/27/2013,
91344,CA,5.0,0.0,09/23/2013,
91344,CA,5.0,0.0,10-9-2013,
91342,CA,5.0,24500.0,10/16/2013,
91324,CA,5.0,0.0,10-10-2013,
91356,CA,5.0,0.0,09/18/2013,
90272,CA,5.0,44950.0,08/22/2013,
91342,CA,5.0,30000.0,9-11-2013,
91042,CA,5.0,0.0,10-9-2013,
91367,CA,5.0,0.0,11-5-2013,
90008,CA,5.0,0.0,09/19/2013,
91306,CA,5.0,0.0,10/18/2013,
91311,CA,5.0,0.0,11-6-2013,
91604,CA,5.0,22000.0,10/25/2013,
90047,CA,5.0,0.0,10-10-2013,
95722,CA,5.0,46400.0,5-10-2007,
95746,CA,5.0,25620.0,5-10-2013,
95762,CA,5.0,20862.0,11/14/2013,
95762,CA,5.0,22105.5,1-11-2013,
95762,CA,5.0,38000.0,07/17/2012,
91343,CA,5.0,19700.0,10/29/2013,
91364,CA,5.0,0.0,11-4-2013,
91605,CA,5.0,0.0,09/26/2013,
91311,CA,5.0,0.0,12-9-2013,
91342,CA,5.0,0.0,12-6-2013,
90065,CA,5.0,0.0,09/26/2013,
91324,CA,5.0,0.0,12/30/2013,
91040,CA,5.0,22087.78,12-9-2013,
91601,CA,5.0,0.0,12/18/2013,
90031,CA,5.0,20750.0,12/17/2013,
90046,CA,5.0,20750.0,10-8-2013,
90291,CA,5.0,24500.0,01/30/2014,
91304,CA,5.0,0.0,11/15/2013,
91402,CA,5.0,0.0,10/30/2013,
90035,CA,5.0,0.0,11/27/2013,
91436,CA,5.0,0.0,12/30/2013,
91342,CA,5.0,0.0,10/30/2013,
91307,CA,5.0,0.0,11/20/2013,
90291,CA,5.0,0.0,11/14/2013,
91344,CA,5.0,0.0,11/26/2013,
90077,CA,5.0,24500.0,3-4-2014,
90047,CA,5.0,0.0,11/19/2013,
91042,CA,5.0,0.0,11/15/2013,
91342,CA,5.0,0.0,12/30/2013,
91343,CA,5.0,0.0,12/31/2013,
91367,CA,5.0,0.0,11-7-2013,
90003,CA,5.0,0.0,11-8-2013,
91040,CA,5.0,0.0,10/23/2013,
90272,CA,5.0,24500.0,2-11-2014,
91342,CA,5.0,0.0,12/17/2013,
91342,CA,5.0,0.0,12-9-2013,
91307,CA,5.0,0.0,11-5-2013,
91402,CA,5.0,24000.0,3-4-2014,
90031,CA,5.0,24000.0,02/18/2014,
91901,CA,5.0,17440.0,10-3-2012,
91915,CA,5.0,39000.0,8-5-2010,
95928,CA,5.0,26436.0,10/14/2011,
95928,CA,5.0,26250.0,05/19/2011,
95928,CA,5.0,17267.0,4-8-2013,
95945,CA,5.0,21616.2,12/19/2012,
95949,CA,5.0,20000.0,05/15/2013,
91945,CA,5.0,27588.0,09/26/2011,
95961,CA,5.0,20580.0,03/25/2013,
95963,CA,5.0,19750.0,12-4-2013,
95973,CA,5.0,22500.0,03/28/2013,
95973,CA,5.0,25700.0,07/22/2011,
95982,CA,5.0,22050.0,04/26/2013,
90043,CA,5.0,16969.84,12-2-2013,
90056,CA,5.0,24709.0,09/15/2011,
92008,CA,5.0,17000.0,01/16/2014,
92008,CA,5.0,33753.0,05/21/2009,
92011,CA,5.0,17400.0,1-8-2014,
92014,CA,5.0,41850.0,11-9-2009,
92014,CA,5.0,27935.0,10/16/2012,
92020,CA,5.0,19000.0,02/22/2013,
92065,CA,5.0,23599.0,5-2-2013,
92065,CA,5.0,20950.0,01/22/2014,
93723,CA,5.0,0.0,07/16/2012,
92071,CA,5.0,26800.0,10-9-2013,
92071,CA,5.0,28670.0,9-7-2011,
92078,CA,5.0,25484.0,10-6-2011,
92078,CA,5.0,26800.0,08/23/2011,
93453,CA,5.0,24584.48,5-8-2012,
92082,CA,5.0,23818.0,12/27/2012,
93723,CA,5.0,0.0,03/30/2011,
93723,CA,5.0,34900.0,7-6-2011,
95630,CA,5.0,18354.0,12/17/2012,
95842,CA,5.0,24500.0,1-2-2014,
95833,CA,5.0,24500.0,01/21/2014,
93535,CA,5.0,18580.0,02/28/2013,
92026,CA,5.0,17964.0,02/24/2014,
94702,CA,5.0,28125.0,11-9-2012,
94706,CA,5.0,23529.0,9-11-2012,
95020,CA,5.0,25183.62,12-7-2012,
95124,CA,5.0,24267.0,07/18/2012,
95132,CA,5.0,20368.0,7-3-2012,
95746,CA,5.0,22205.0,07/19/2012,
95949,CA,5.0,15000.0,09/25/2012,
90266,CA,5.0,22088.75,12/13/2012,
91360,CA,5.0,25362.0,11/28/2012,
91387,CA,5.0,46925.0,07/26/2012,
91752,CA,5.0,37500.0,01/27/2012,
91766,CA,5.0,25373.0,08/21/2012,
91766,CA,5.0,25800.0,05/16/2012,
92264,CA,5.0,26108.0,06/20/2012,
92264,CA,5.0,21993.38,10/18/2012,
92342,CA,5.0,31291.42,05/30/2012,
92346,CA,5.0,25000.0,12/13/2012,
92563,CA,5.0,25900.0,12-6-2012,
92647,CA,5.0,15800.0,08/16/2012,
93003,CA,5.0,25000.0,12-12-2012,
93065,CA,5.0,32400.0,7-11-2012,
93505,CA,5.0,21108.0,11/29/2012,
93730,CA,5.0,39900.0,8-8-2012,
92377,CA,5.0,24500.0,01/17/2014,
92392,CA,5.0,0.0,8-5-2013,
92392,CA,5.0,17367.0,02/26/2014,
92394,CA,5.0,0.0,12/18/2013,
92395,CA,5.0,24300.0,2-10-2014,
92395,CA,5.0,24500.0,2-11-2014,
92395,CA,5.0,19600.0,01/22/2014,
92399,CA,5.0,21021.0,10/15/2013,
