Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=maxsize=30600&minsize=0&state=TN
37830,TN,31.0,,5-11-2011,
38581,TN,31.0,,08/24/2010,
37402,TN,31.5,,8-5-2010,
37075,TN,3.293.999.863,,05/21/2010,
37415,TN,3.359.999.847,,6-10-2010,
37405,TN,33.84,180000.0,09/21/2011,
37066,TN,34.56,,05/17/2011,
37066,TN,34.56,,9-3-2010,
38555,TN,35.28,,6-8-2011,
37659,TN,37.44,,05/21/2012,
38305,TN,37.6,218123.0,09/13/2011,
37148,TN,40.0,,07/29/2010,
38305,TN,40.32,,12/15/2010,
38506,TN,4.520.000.076,,12-4-2009,
38555,TN,47.04,,05/17/2011,
37043,TN,48.0,,8-3-2012,
37087,TN,49.28,,05/30/2012,
37830,TN,51.24,,05/17/2011,
37086,TN,51.24,,05/17/2011,
37830,TN,51.24,,11-5-2008,
37167,TN,51.24,,4-10-2010,
37086,TN,51.24,435540,1-1-2008,
37830,TN,51.24,486780,1-1-2007,
37686,TN,51.9,,12/22/2011,
37040,TN,57.6,,05/17/2011,
37040,TN,57.6,,05/13/2011,
37405,TN,57.96,,1-7-2011,
37167,TN,59.22,,10/30/2011,
38401,TN,59.28,,05/17/2011,
38401,TN,59.28,,06/24/2011,
38483,TN,59.52,,05/17/2011,
38483,TN,59.52,,10/21/2010,
37090,TN,59.78,,05/17/2011,
37090,TN,59.78,,11/24/2010,
37407,TN,60.0,,5-11-2012,
37067,TN,60.48,,12/21/2011,
37027,TN,60.48,,12/21/2011,
37067,TN,60.48,,12/30/2011,
37203,TN,63.3,,2-6-2014,
37207,TN,63.36,,12/21/2011,
38118,TN,65.52,,08/24/2012,
37203,TN,6.580.000.305,,7-12-2010,
37129,TN,66.0,,05/27/2011,
37129,TN,66.15,,05/17/2011,
38462,TN,70.35,,05/17/2011,
38462,TN,70.35,,4-1-2011,
37115,TN,70.5,,07/23/2010,
37087,TN,71.68,,05/17/2011,
37401,TN,85,680000,1-1-2001,
37075,TN,87.23,,5-10-2010,
37075,TN,87.5,,05/17/2011,
37660,TN,98,,12-1-2009,
37087,TN,99.36,,12/23/2010,
37774,TN,109.98,599500.0,03/18/2011,
38193,TN,117.0,,04/13/2010,
37027,TN,140.4,,12/21/2011,
38115,TN,148.4,,03/15/2010,
37027,TN,149.76,,12/30/2011,
37208,TN,199.68,,03/29/2012,
37208,TN,199.68,,03/30/2012,
37871,TN,950.0,,07/16/2010,
38120,TN,998.4,,4-4-2012,
37167,TN,1000.0,,07/25/2011,
37421,TN,1000.0,4300000.0,12/18/2011,
38301,TN,1000.0,,04/16/2012,
37871,TN,1000.0,,8-12-2010,
37334,TN,3000.0,9450000.0,11-2-2011,
38069,TN,5000.0,,2-1-2012,
