Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=maxsize=30600&minsize=0&state=DC
20009,DC,3.5,15750.0,09/18/2012,
20020,DC,3.5,15400.0,09/19/2012,
20009,DC,3.5,15750.0,09/18/2012,
20020,DC,3.5,15400.0,09/19/2012,
20016,DC,3.52,28146.0,11/23/2010,
20016,DC,3.52,28146.0,11/23/2010,
20016,DC,3.52,30057.0,7-2-2011,
20012,DC,3.525,22461.25,02/13/2012,
20011,DC,3.525,16953.0,10/15/2012,
20009,DC,3.525,34161.0,1-10-2011,
20012,DC,3.525,22461.25,02/13/2012,
20011,DC,3.525,16953.0,10/15/2012,
20009,DC,3.525,34161.0,1-10-2011,
20001,DC,3.525,25184.0,02/13/2012,
20010,DC,3.525,29592.0,7-2-2011,
20003,DC,3.57,26500.0,09/30/2009,
20003,DC,3.57,26500.0,09/30/2009,
20002,DC,3.6,6804.0,6-12-2012,
20016,DC,3.6,17910.0,10-11-2012,
20012,DC,3.6,17910.0,10/17/2012,
20017,DC,3.6,17910.0,12/26/2012,
20001,DC,3.6,33350.0,09/30/2009,
20016,DC,3.6,28350.0,12/14/2009,
20009,DC,3.6,25540.0,06/21/2010,
20003,DC,3.6,22283.0,7-6-2010,
20001,DC,3.6,36420.0,08/25/2010,
