ZIP,State,Annual Average (kWh/m2/day)
3809,NH,4;03
3810,NH,3;91
3811,NH,4;03
3812,NH,3;78
3813,NH,3;92
3814,NH,4;02
3816,NH,3;95
3817,NH,3;94
3818,NH,3;92
3819,NH,4;04
3820,NH,4;06
3823,NH,4;05
3824,NH,4;03
3825,NH,4;04
3826,NH,4;01
3827,NH,3;97
3830,NH,4;07
3832,NH,4;03
3833,NH,3;99
3835,NH,4;14
3836,NH,4;02
3837,NH,4;06
3838,NH,3;88
3839,NH,4;07
3840,NH,4;00
3841,NH,4;04
3842,NH,3;95
3844,NH,3;99
3845,NH,3;89
3846,NH,3;69
3847,NH,3;92
3848,NH,4;01
3849,NH,3;95
3851,NH,4;10
3852,NH,4;08
3853,NH,3;80
3854,NH,3;89
3855,NH,4;13
3856,NH,4;01
3857,NH,4;00
3858,NH,3;96
3859,NH,3;94
3860,NH,3;94
3861,NH,4;04
3862,NH,3;94
3864,NH,4;04
3865,NH,3;99
3867,NH,4;08
3868,NH,4;09
3869,NH,4;07
3870,NH,3;93
3871,NH,3;83
3872,NH,4;08
3873,NH,4;05
3874,NH,3;97
3875,NH,3;93
3878,NH,4;06
3882,NH,4;07
3883,NH,3;94
3884,NH,4;08
3885,NH,4;00
3886,NH,3;93
3887,NH,4;10
3890,NH,4;00
3894,NH,3;98
3897,NH,3;93
3901,ME,4;11
3902,ME,4;13
3903,ME,4;03
3904,ME,4;07
3905,ME,4;04
3906,ME,4;13
3907,ME,4;12
3908,ME,4;12
3909,ME,4;15
3911,ME,4;17
4001,ME,4;07
4002,ME,4;10
4003,ME,4;16
4004,ME,4;12
4005,ME,4;10
4008,ME,4;02
4009,ME,3;99
4010,ME,3;99
4011,ME,4;05
4015,ME,4;02
4016,ME,3;82
4017,ME,4;19
4019,ME,4;20
4020,ME,4;09
4021,ME,4;11
4022,ME,3;94
4024,ME,4;10
4027,ME,4;12
4029,ME,4;05
4030,ME,4;14
4032,ME,4;13
4037,ME,3;88
4038,ME,4;06
4039,ME,4;07
4040,ME,4;00
4041,ME,4;00
4042,ME,4;11
4043,ME,4;11
4046,ME,4;13
4047,ME,4;07
4048,ME,4;12
4049,ME,4;10
4050,ME,4;17
4051,ME,3;85
4055,ME,4;01
4056,ME,4;14
4061,ME,4;14
4062,ME,4;05
4063,ME,4;04
4064,ME,4;09
4066,ME,4;10
4068,ME,4;05
4069,ME,4;10
4071,ME,4;01
4072,ME,4;08
4073,ME,4;11
4074,ME,4;05
4076,ME,4;08
4079,ME,4;09
4083,ME,4;11
4084,ME,4;07
4085,ME,4;10
4086,ME,4;06
4087,ME,4;12
4088,ME,3;93
4090,ME,4;12
4091,ME,4;08
4092,ME,4;08
4093,ME,4;09
4094,ME,4;13
4095,ME,4;05
4096,ME,4;12
4097,ME,4;10
4101,ME,4;14
4102,ME,4;11
4103,ME,4;10
4105,ME,4;11
4106,ME,4;04
4107,ME,4;01
4108,ME,4;16
4109,ME,4;16
4110,ME,4;13
4210,ME,4;04
4216,ME,3;68
4217,ME,3;79
4219,ME,3;94
4220,ME,3;96
4221,ME,3;95
4222,ME,4;07
4224,ME,3;94
4226,ME,3;75
4231,ME,3;85
4234,ME,3;90
4236,ME,3;95
4237,ME,3;77
4238,ME,4;03
4239,ME,3;94
4240,ME,3;99
4250,ME,4;06
4252,ME,4;05
4253,ME,3;90
4254,ME,3;89
4255,ME,3;90
4256,ME,4;01
4257,ME,3;85
4258,ME,4;01
4259,ME,3;92
4260,ME,4;07
4261,ME,3;66
4263,ME,3;89
4265,ME,3;86
4268,ME,3;96
4270,ME,4;00
4274,ME,4;03
4275,ME,3;78
4276,ME,3;83
4280,ME,3;98
4281,ME,4;00
4282,ME,3;96
4284,ME,3;90
4285,ME,3;84
4287,ME,4;00
4289,ME,3;97
4290,ME,3;91
4292,ME,3;94
4294,ME,3;92
4330,ME,3;94
4333,ME,3;97
4341,ME,3;93
4342,ME,4;01
4344,ME,3;97
4345,ME,3;96
4346,ME,4;02
4347,ME,3;95
4348,ME,3;94
4349,ME,3;85
4350,ME,3;93
4351,ME,3;92
4352,ME,3;93
4353,ME,4;00
4354,ME,3;95
4355,ME,3;91
4357,ME,4;01
4358,ME,3;92
4359,ME,4;03
4360,ME,3;94
4363,ME,3;98
4364,ME,3;91
4401,ME,3;91
4406,ME,3;96
4408,ME,4;01
4410,ME,4;01
4411,ME,3;88
4412,ME,3;92
4413,ME,3;89
4414,ME,3;98
4415,ME,4;05
4416,ME,4;01
4417,ME,3;97
4418,ME,3;95
4419,ME,3;99
4420,ME,3;89
4421,ME,3;95
4422,ME,3;96
4424,ME,3;97
4426,ME,3;96
4427,ME,3;93
4428,ME,3;93
4429,ME,3;95
4430,ME,4;04
4434,ME,4;00
4435,ME,3;94
4438,ME,3;98
4441,ME,3;95
4442,ME,3;88
4443,ME,3;95
4444,ME,3;99
4448,ME,3;99
4449,ME,3;97
4450,ME,3;94
4451,ME,4;02
4453,ME,4;00
4454,ME,3;98
4455,ME,4;03
4456,ME,3;93
4457,ME,4;01
4459,ME,4;05
4460,ME,4;02
4461,ME,3;93
4462,ME,3;96
4463,ME,4;00
4464,ME,3;95
4468,ME,3;95
4469,ME,3;85
4471,ME,3;98
4472,ME,4;01
4473,ME,3;86
4474,ME,3;96
4475,ME,3;96
4476,ME,4;00
4478,ME,3;86
4479,ME,3;94
4481,ME,4;09
4485,ME,3;92
4487,ME,4;02
4488,ME,3;93
4489,ME,3;88
4490,ME,3;95
4491,ME,3;96
4492,ME,4;00
