INCITS,Zipcode,Radiation
36071,92887,4;53
36079,64672,4;55
17101,72572,3;83
17103,78948,3;83
17105,70785,3;83
17109,62374,3;82
49011,84087,3;54
49013,84073,3;58
49015,84537,3;60
49017,99347,3;62
26105,98592,3;69
26101,49689,3;73
38079,58369,4;30
38075,58787,4;30
40025,73947,4;01
40023,74759,4;00
4009,85552,3;99
4001,86556,4;07
4003,85650,4;16
4005,86351,4;10
42079,18766,4;21
20175,68456,4;36
42071,68588,4;19
20169,72167,4;36
41035,97737,3;99
41033,97544,3;97
41031,98376,3;98
41039,97493,3;95
28017,52154,4;65
41003,99353,3;98
41001,97907,3;95
48157,77545,3;61
48159,99343,3;59
29001,74965,4;63
29003,64485,4;64
29009,65772,4;60
28009,99353,4;56
39173,75783,4;41
39175,44882,4;46
21113,40390,4;14
21111,98376,4;02
21117,41063,4;05
53031,98376,3;78
53033,98288,3;73
53035,98392,3;69
53037,98950,3;76
48429,76429,3;64
48421,97065,3;57
48427,78591,3;41
51049,62468,4;35
51041,29741,4;39
19111,78948,3;96
19113,97446,3;94
19115,52754,3;95
19119,89447,3;97
46049,57473,3;75
46047,57782,3;77
46041,73859,3;76
48329,79707,3;61
48323,78877,3;59
48327,76859,3;60
20059,99343,4;21
20057,67882,4;21
2090,99775,3;81
55053,97541,4;01
55055,98376,4;08
12086,33196,3;80
12087,72134,3;86
12083,97392,3;86
29081,75692,4;65
54107,75783,3;86
54101,71075,3;95
54103,26575,4;05
55051,84772,4;05
51570,23834,4;39
55057,99824,4;03
2110,99824,3;79
40109,74857,4;00
40107,74880,3;97
6057,96161,3;81
6051,96133,3;78
6053,95039,3;78
10005,23897,3;79
10003,19884,3;79
1079,72572,3;71
1077,39364,3;74
1075,75486,3;61
1073,98376,3;74
1071,97541,3;81
49021,84772,3;61
49027,84728,3;64
17075,60974,3;57
17077,97541,3;71
17073,65360,3;76
29229,65717,4;60
28147,39667,4;59
18069,46792,3;71
18067,79720,3;70
47175,72629,4;05
47177,63390,4;02
21017,66779,4;10
21015,72682,4;07
21013,76579,4;06
48505,78564,3;61
30087,59347,4;45
29175,72478,4;63
22003,71463,4;30
51111,23974,4;48
10001,79528,3;79
37175,28774,4;21
37171,28676,4;13
37179,97883,4;15
30017,83278,4;49
8057,97541,3;95
8055,81089,4;01
47035,62468,3;95
47037,37246,3;97
47031,37388,3;99
46121,57572,3;91
46123,57584,3;90
46127,97883,3;82
12009,32976,3;94
12007,32622,3;89
13065,31634,3;71
13063,52159,3;56
13061,76377,3;55
13069,37388,3;68
16023,95978,3;43
16025,83327,3;43
19031,68792,3;93
5045,72181,3;62
5043,71677,3;61
5041,71674,3;69
36109,14886,4;54
36105,64667,4;55
36107,17765,4;53
8041,80946,3;93
8043,83451,4;03
8045,99347,4;02
8049,84540,4;02
19029,75656,3;97
19025,77983,3;94
19027,72660,3;96
19021,51033,3;91
19023,68669,4;04
48215,88056,3;54
48217,76692,3;60
48211,79014,3;59
48213,75778,3;59
48219,79358,3;60
54027,26865,3;95
54025,25984,4;00
54023,99357,3;97
35061,87068,4;33
26075,97541,3;48
54013,77983,3;94
54017,26456,3;96
44001,24202,3;45
44003,79528,3;44
49047,84085,3;55
49045,84083,3;57
49043,84098,3;51
48393,79059,3;55
48027,76579,3;54
48025,78391,3;61
48023,76380,3;58
48021,78957,3;62
23021,4485,4;42
23023,4579,4;33
23027,4988,4;37
26137,49795,3;68
26133,51354,3;75
38023,58844,4;40
40075,81071,3;99
40077,74578,4;06
40071,74653,4;00
39083,79529,4;41
42085,64673,4;24
42083,16750,4;21
41063,97885,3;98
28021,71079,4;63
28023,50275,4;62
28025,76377,4;61
28027,38645,4;60
29039,68792,4;64
29031,63785,4;60
29033,72660,4;54
29037,75656,4;65
31079,79261,4;66
31071,99347,4;64
31075,99357,4;66
31077,68882,4;68
22125,70782,4;24
51650,29945,4;49
56007,84542,4;01
56003,82441,4;05
56001,82084,4;06
56009,82637,4;04
33009,3785,4;74
37085,28368,4;02
30063,59868,4;37
30067,82450,4;37
37083,27890,4;08
21163,67869,4;05
21161,98592,3;99
53001,99371,3;77
53005,99353,3;80
53007,98852,3;82
13141,62380,3;58
13143,30182,3;66
13145,77598,3;72
13147,42765,3;64
28077,72572,4;62
37033,27379,4;19
37031,28594,4;05
37037,31419,4;09
37035,28682,4;14
36029,44870,4;55
36027,12604,4;59
36025,74359,4;49
19149,51062,3;94
19147,51358,3;95
19145,51656,3;99
19143,51354,4;04
19141,51346,3;98
46017,68876,3;77
46011,57276,3;78
46013,76890,3;77
12131,32550,3;57
48313,83460,3;58
48315,97392,3;57
48317,79783,3;57
42003,15283,4;23
42001,99371,4;24
48101,79248,3;61
48105,76943,3;65
48507,78872,3;60
48503,76481,3;60
55063,54669,4;05
55065,71860,3;99
55069,99185,4;02
27107,56584,4;54
27105,56187,4;51
27103,56082,4;51
27101,73086,4;52
27109,55976,4;50
20171,72958,4;40
12115,34293,3;67
6065,92883,3;77
6067,95864,3;77
6061,96148,3;80
6063,96135,3;78
6069,95075,3;74
48471,77358,3;43
48473,77484,3;62
48475,79788,3;54
1027,76377,3;78
1029,72581,3;83
51019,37360,4;38
51011,24593,4;43
51015,24486,4;41
21209,72958,4;09
21201,77867,4;11
21207,67673,4;10
21205,40351,4;05
17041,98858,3;82
17043,60572,3;85
50001,5778,4;24
50003,5776,4;28
50005,5873,4;10
50007,5495,4;24
50009,22560,4;19
28133,38778,4;60
28137,38668,4;57
28135,38966,4;58
28139,38683,4;62
20049,67353,4;19
17125,98592,3;83
18013,76890,3;74
18011,72682,3;78
18017,75656,3;70
47141,64672,4;04
47143,37381,4;03
47145,37854,4;09
47147,77867,4;03
21045,42566,4;12
21047,65754,4;09
21043,73488,4;10
45005,29849,3;88
48035,76690,3;54
25025,11980,3;67
25021,2762,3;72
30107,59453,4;38
30105,83677,4;27
30103,59076,4;30
30101,59484,4;38
29145,75977,4;65
37129,28480,4;07
37127,27891,4;07
46045,57471,3;79
46111,57385,3;94
46113,65588,3;95
46115,57477,3;83
46117,57537,3;83
48189,79311,3;63
48183,75693,3;59
48185,77876,3;62
48187,88435,3;63
20187,68779,4;28
20181,97065,4;28
13039,65787,3;67
13035,30234,3;57
13037,77983,3;57
13031,30461,3;62
13033,58773,3;69
51520,24202,4;39
53059,98651,3;70
8019,80476,4;03
8015,81236,3;99
8014,80544,4;04
16063,99185,3;39
48225,75858,3;62
48221,76476,3;61
48223,75482,3;61
55103,71269,4;10
55101,53406,4;10
55107,75691,4;10
55105,68714,4;09
55109,54082,4;06
26041,81428,3;52
26047,51365,3;48
18091,46391,3;72
48079,79379,3;58
48075,79259,3;61
48071,77665,3;59
48073,75976,3;62
23011,4989,4;37
23015,99185,4;35
40045,76670,4;00
40047,99347,3;97
40041,74359,4;00
38019,58372,4;34
38015,58572,4;38
38017,75656,4;32
38011,58653,4;38
39059,43780,4;43
39051,72583,4;41
39057,72474,4;42
47033,76943,3;96
12077,77582,3;96
12075,34498,3;69
12071,78948,3;61
20141,67651,4;18
20147,80746,4;43
13309,97874,3;66
13303,97229,3;65
13301,63390,3;63
20109,80751,4;35
20105,99185,4;39
20103,66086,4;44
41055,97065,3;96
41051,97266,3;99
41059,97886,3;94
28079,39189,4;63
1119,36925,3;69
28075,39364,4;62
28073,75486,4;66
28071,71860,4;59
37047,28472,4;18
29067,98858,4;62
29065,65560,4;66
29063,64497,4;64
29061,64689,4;60
29069,63933,4;65
31041,83278,4;56
31045,69367,4;64
31047,79713,4;62
31049,69129,4;67
