Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=maxsize=30600&minsize=0&state=VT
5346,VT,2.585,14448.0,12/30/2011,
5734,VT,2.6,16300,2-7-2009,
5346,VT,2.64,35528,3-8-2006,
5072,VT,2.64,24215,11/17/2005,
5673,VT,2.64,32160,06/21/2006,
5674,VT,2.64,25204,04/20/2006,
5065,VT,2.64,23940,06/29/2006,
5602,VT,2.64,14491.5,08/16/2007,
5053,VT,2.64,22107,03/27/2006,
5766,VT,2.64,24748,1-11-2007,
5769,VT,2.64,32852,04/27/2006,
5301,VT,2.64,25189,02/27/2006,
5055,VT,2.64,24215,08/29/2006,
5053,VT,2.64,19967.49,7-9-2010,
5827,VT,2.64,12000.0,01/26/2012,
5461,VT,2.66,18985,11/14/2008,
5774,VT,2.66,20319.99,12/19/2008,
5753,VT,2.66,21181.07,04/22/2010,
5254,VT,2.7,14587.24,10/26/2009,
5873,VT,2.7,24206,6-12-2009,
5753,VT,2.7,23205,04/25/2009,
5491,VT,2.7,19658.25,1-1-2009,
5446,VT,2.7,23706,4-7-2009,
5091,VT,2.7,24706,04/20/2009,
5495,VT,2.7,24064,2-4-2009,
5855,VT,2.7,34360.41,05/15/2009,
5660,VT,2.7,24710,07/30/2004,
5676,VT,2.7,18461.0,11-12-2010,
5477,VT,2.7,15500.0,07/22/2010,
5445,VT,2.7,15930.0,10-3-2011,
5445,VT,2.7,15930.0,09/19/2011,
5445,VT,2.7,15930.0,08/19/2011,
5667,VT,2.72,19702.35,11/15/2004,
5682,VT,2.73,31226,12/30/2008,
5048,VT,2.76,33425,12/17/2004,
5451,VT,2.76,17330.0,12/20/2010,
5767,VT,2.76,25062.39,8-8-2010,
5676,VT,2.76,18795.0,05/23/2010,
5486,VT,2.76,17820.0,12/30/2011,
5301,VT,2.76,13650.0,10-7-2011,
5031,VT,2.76,17416.0,06/28/2011,
5085,VT,2.76,19153.0,06/18/2011,
5872,VT,2.76,20500.0,5-12-2011,
5036,VT,2.76,17516.0,5-9-2011,
5819,VT,2.76,17940.0,04/23/2011,
5661,VT,2.76,19509.0,1-12-2011,
5355,VT,2.82,12833.0,12/26/2011,
5346,VT,2.82,31457.0,08/19/2011,
5032,VT,2.82,27960.0,08/18/2011,
5819,VT,2.82,20100.0,8-11-2011,
5346,VT,2.82,11324.06,04/14/2011,
5677,VT,2.82,17433.0,9-10-2012,
5647,VT,2.835,44945.73,2-11-2005,
