Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=maxsize=30600&minsize=0&state=UT
84532,UT,645.696,27053.14,8-11-2011,
84067,UT,6.5,34107.0,1-7-2013,
84643,UT,6.6,34443.54,07/28/2010,
84065,UT,6.63,35303.0,05/22/2013,
84720,UT,6.75,21367.14,06/27/2013,
84004,UT,6.75,23118.43,2-3-2014,
84655,UT,6.75,30331.0,6-3-2013,
84065,UT,6.885,19857.0,10/30/2013,
84103,UT,6.885,32309.61,07/24/2013,
84103,UT,6.92,54800.0,7-10-2010,
84094,UT,7.0,46077.0,11/22/2013,
84701,UT,7.04,50000.0,6-1-2010,
84096,UT,7.095,39022.0,09/16/2010,
84096,UT,7.14,36750.0,4-5-2013,
84096,UT,7.14,36750.0,01/21/2013,
84029,UT,7.14,37980.0,02/15/2013,
84767,UT,7.2,,5-12-2000,
84060,UT,7.2,56773.95,12-11-2010,
84121,UT,7.3,52300.0,09/18/2009,
84092,UT,7.5,39000.0,05/31/2013,
84065,UT,7.595,25304.0,07/24/2013,
84088,UT,7.65,40658.0,8-5-2013,
84103,UT,7.77,65966.0,01/15/2009,
84123,UT,7.8,53871.0,05/13/2013,
84003,UT,7.9,41970.0,7-9-2013,
84070,UT,7.925,69000.0,12/21/2010,
84098,UT,7.95,23425.22,12/30/2013,
84775,UT,7.955,45685.0,11-5-2010,
84015,UT,8.0,33308.0,11/20/2013,
84414,UT,8.0,42500.0,10/28/2013,
84095,UT,8.0,42495.0,9-3-2013,
84094,UT,8.0,42495.0,10-3-2013,
84117,UT,8.0,42495.0,12/16/2013,
84738,UT,8.0,47482.16,12-1-2010,
84532,UT,8.1,72900.0,07/27/2007,
84405,UT,8.16,43335.0,7-3-2013,
84074,UT,8.25,43808.0,11-12-2013,
84738,UT,8.28,50160.33,12/16/2010,
84037,UT,8.415,42075.0,07/31/2013,
84092,UT,8.5,45000.0,12/26/2013,
84070,UT,8.67,33214.47,6-3-2013,
84075,UT,8.75,28058.0,08/30/2013,
84003,UT,8.75,46433.0,10/16/2013,
84060,UT,8.82,30843.05,01/27/2014,
84092,UT,9.0,47625.0,11/19/2013,
84103,UT,9.0,7579.92,12-1-2010,
84081,UT,9.18,48690.0,06/15/2013,
84040,UT,9.5,49875.0,10/22/2013,
84075,UT,958.056,99500.0,09/30/2011,
84101,UT,9.66,58000.0,2-10-2011,
84721,UT,9.9,104104.44,09/25/2008,
84015,UT,10.0,52500.0,9-4-2013,
84097,UT,10.0,52995.0,08/13/2013,
84005,UT,10.0,50495.0,10/21/2013,
84401,UT,10.0,,2-8-2012,
84088,UT,10.0,,2-9-2012,
84606,UT,10.0,45000.0,09/21/2012,
84098,UT,10.06,36786.68,12/30/2013,
84074,UT,10.78,33053.31,08/22/2013,
84405,UT,13.25,70058.0,09/16/2013,
84003,UT,13.26,52500.0,04/15/2013,
84043,UT,14.0,73995.0,08/27/2013,
84088,UT,15.3,80820.0,08/14/2013,
84721,UT,18.87,79800.0,5-2-2013,
84098,UT,19.356.246,99031.0,09/13/2011,
84101,UT,20.0,200000.0,9-12-2006,
84119,UT,20.52,75000.0,4-11-2014,
84070,UT,2.092.185,95172.0,9-8-2011,
84123,UT,21.0,207900.0,12/27/2010,
84113,UT,22.16,100000.0,5-4-2014,
84109,UT,23.0,112000.0,09/27/2010,
84111,UT,24.32,263133.55,01/15/2009,
84104,UT,2.650.752,160250.0,8-4-2011,
84101,UT,28.08,140000.0,05/30/2013,
84102,UT,29.26,247736.07,12/28/2005,
84102,UT,29.26,269750.77,12/28/2005,
84111,UT,30.4,299258.98,01/15/2009,
84114,UT,35.64,385600.0,10-6-2010,
84057,UT,36.0,189000.0,5-7-2013,
84401,UT,41.8,420412.0,12/18/2008,
84319,UT,42.3,264000.0,11-10-2010,
84074,UT,50.0,250000.0,01/15/2009,
84074,UT,50.0,250000,10/20/2010,
84104,UT,65.28,225000.0,06/22/2012,
84763,UT,85.0,,09/24/2010,
84111,UT,92.0,389465.37,12/29/2006,
84511,UT,106.5,,10/26/2010,
84056,UT,220,,06/25/2009,
84104,UT,642.2,2000000.0,11-6-2013,
84104,UT,904.0,3000000.0,03/26/2014,
84020,UT,1015.0,,07/26/2012,
84101,UT,1650.0,,05/24/2012,
