Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=maxsize=10&minsize=7&state=CA
95829,CA,7.0,28929.33,01/24/2013,
95829,CA,7.0,28292.33,01/24/2013,
95829,CA,7.0,28929.33,01/24/2013,
95829,CA,7.0,28929.33,01/24/2013,
95829,CA,7.0,28929.33,01/24/2013,
93221,CA,7.0,38570.0,12-9-2010,
92688,CA,7.0,42112.08,2-9-2009,
93001,CA,7.0,45613.0,02/17/2009,
95014,CA,7.0,48440.0,03/17/2009,
95602,CA,7.0,56844.98,4-1-2009,
92064,CA,7.0,49508.76,04/14/2009,
94507,CA,7.0,47063.0,04/16/2009,
92648,CA,7.0,51625.0,04/16/2009,
93308,CA,7.0,50405.65,04/29/2009,
93619,CA,7.0,51792.57,05/14/2009,
95138,CA,7.0,49572.45,05/18/2009,
95060,CA,7.0,49817.0,05/21/2009,
95973,CA,7.0,46702.95,6-5-2009,
93314,CA,7.0,47539.9,06/15/2009,
95648,CA,7.0,42119.0,06/15/2009,
94530,CA,7.0,45207.38,06/17/2009,
94558,CA,7.0,58546.0,06/25/2009,
93117,CA,7.0,31126.93,06/25/2009,
93619,CA,7.0,25320.0,7-6-2009,
93710,CA,7.0,49146.35,07/15/2009,
94505,CA,7.0,35500.0,07/16/2009,
95675,CA,7.0,42994.0,07/30/2009,
95037,CA,7.0,66994.0,8-6-2009,
93301,CA,7.0,56217.0,03/14/2008,
92119,CA,7.0,50100.0,8-12-2009,
93465,CA,7.0,57745.73,02/13/2009,
90623,CA,7.0,37800.0,2-4-2013,
94028,CA,7.0,63000.0,03/26/2010,
95125,CA,7.0,63000.0,03/26/2010,
92557,CA,7.0,43476.52,03/29/2010,
94587,CA,7.0,53900.0,4-2-2010,
94925,CA,7.0,47804.0,4-2-2010,
94062,CA,7.0,61206.06,4-10-2010,
91350,CA,7.0,51800.0,4-12-2010,
92130,CA,7.0,63000.0,04/15/2010,
91324,CA,7.0,40179.95,09/22/2010,
90065,CA,7.0,41000.0,09/15/2010,
90077,CA,7.0,57780.12,08/30/2010,
91607,CA,7.0,22025.52,08/17/2010,
91367,CA,7.0,40250.0,06/21/2010,
91324,CA,7.0,49000.0,9-4-2009,
90042,CA,7.0,50715.53,11/20/2008,
91364,CA,7.0,55268.43,2-8-2008,
